iter	Passed	Remaining
783	981	270
784	982	269
785	983	267
786	983	266
787	984	264
788	985	263
789	986	262
790	987	260
791	987	259
792	988	258
793	990	257
794	991	255
795	992	254
796	993	253
797	994	251
798	995	250
799	996	249
800	997	247
801	997	246
802	998	244
803	999	243
804	1000	242
805	1001	240
806	1002	239
807	1003	238
808	1004	237
809	1005	235
810	1005	234
811	1006	233
812	1007	231
813	1008	230
814	1009	229
815	1010	227
816	1010	226
817	1011	225
818	1012	223
819	1013	222
820	1014	221
821	1015	219
822	1015	218
823	1016	217
824	1017	215
825	1018	214
826	1018	213
827	1019	211
828	1020	210
829	1021	209
830	1022	207
831	1022	206
832	1023	205
833	1024	203
834	1025	202
835	1026	201
836	1027	200
837	1028	198
838	1029	197
839	1029	196
840	1030	194
841	1031	193
842	1032	192
843	1033	190
844	1033	189
845	1034	188
846	1035	187
847	1036	185
848	1036	184
849	1038	183
850	1040	182
851	1041	180
852	1042	179
853	1043	178
854	1044	177
855	1045	175
856	1046	174
857	1049	173
858	1050	172
859	1051	171
860	1052	169
861	1053	168
862	1054	167
863	1055	166
864	1056	164
865	1056	163
866	1057	162
867	1058	160
868	1060	159
869	1061	158
870	1062	157
871	1063	156
872	1064	154
873	1065	153
874	1066	152
875	1067	151
876	1068	149
877	1069	148
878	1069	147
879	1070	146
880	1071	144
881	1072	143
882	1073	142
883	1074	141
884	1075	139
885	1076	138
886	1077	137
887	1079	136
888	1079	134
889	1080	133
890	1082	132
891	1083	131
892	1085	130
893	1085	128
894	1086	127
895	1087	126
896	1088	125
897	1089	123
898	1091	122
899	1091	121
900	1092	120
901	1094	118
902	1095	117
903	1096	116
904	1096	115
905	1097	113
906	1098	112
907	1099	111
908	1100	110
909	1101	108
910	1102	107
911	1103	106
912	1104	105
913	1106	104
914	1107	102
915	1108	101
916	1109	100
917	1109	99
918	1110	97
919	1111	96
920	1112	95
921	1113	94
922	1114	92
923	1114	91
924	1115	90
925	1116	89
926	1118	88
927	1119	86
928	1120	85
929	1120	84
930	1121	83
931	1122	81
932	1123	80
933	1124	79
934	1124	78
935	1125	76
936	1126	75
937	1127	74
938	1128	73
939	1130	72
940	1131	70
941	1133	69
942	1134	68
943	1135	67
944	1139	66
945	1140	65
946	1141	63
947	1143	62
948	1144	61
949	1144	60
950	1145	59
951	1146	57
952	1147	56
953	1148	55
954	1149	54
955	1150	52
956	1151	51
957	1152	50
958	1155	49
959	1156	48
960	1157	46
961	1158	45
962	1159	44
963	1160	43
964	1161	42
965	1162	40
966	1163	39
967	1164	38
968	1167	37
969	1168	36
970	1169	34
971	1170	33
972	1171	32
973	1172	31
974	1172	30
975	1173	28
976	1174	27
977	1175	26
978	1176	25
979	1177	24
980	1179	22
981	1180	21
982	1181	20
983	1182	19
984	1183	18
985	1184	16
986	1185	15
987	1186	14
988	1187	13
989	1187	11
990	1188	10
991	1190	9
992	1191	8
993	1192	7
994	1193	5
995	1194	4
996	1195	3
997	1196	2
998	1196	1
999	1197	0
